plantID,site,species,site-species,growthform,phenophase,year,estimate,doy1,doy2,doy-diff
NEON.PLA.D01.BART.06078,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06078,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,125,122,125,3
NEON.PLA.D01.BART.06078,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,125,122,128,6
NEON.PLA.D01.BART.06078,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,131,131,136,5
NEON.PLA.D01.BART.06078,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,215,212,215,3
NEON.PLA.D01.BART.06078,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06079,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,235,231,235,4
NEON.PLA.D01.BART.06079,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2016,321,305,321,16
NEON.PLA.D01.BART.06079,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06079,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,205,201,205,4
NEON.PLA.D01.BART.06079,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06080,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth end,2016,153,153,167,14
NEON.PLA.D01.BART.06080,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06080,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06080,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,125,122,125,3
NEON.PLA.D01.BART.06080,BART,FAGR,BART-FAGR,Deciduous broadleaf,peak flower,2017,133,131,136,5
NEON.PLA.D01.BART.06080,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,136,136,139,3
NEON.PLA.D01.BART.06080,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2017,205,201,205,4
NEON.PLA.D01.BART.06080,BART,FAGR,BART-FAGR,Deciduous broadleaf,leaves shed end,2017,303,296,303,7
NEON.PLA.D01.BART.06081,BART,FAGR,BART-FAGR,Deciduous broadleaf,first color,2016,228,224,228,4
NEON.PLA.D01.BART.06081,BART,FAGR,BART-FAGR,Deciduous broadleaf,new growth start,2017,122,114,122,8
NEON.PLA.D01.BART.06081,BART,FAGR,BART-FAGR,Deciduous broadleaf,first flower,2017,136,131,136,5
NEON.PLA.D01.BART.06081,BART,FAGR,BART-FAGR,Deciduous broadleaf,last flower,2017,139,139,142,3
